"GEO_ID","NAME","P1_001N","P1_001NA",
"Geography","Geographic Area Name"," !!Total","Annotation of  !!Total",
"1400000US26099262300","Census Tract 2623; Macomb County; Michigan","4291","null",
"1400000US26099262400","Census Tract 2624; Macomb County; Michigan","3500","null",
"1400000US26099262500","Census Tract 2625; Macomb County; Michigan","5435","null",
"1400000US26099262600","Census Tract 2626; Macomb County; Michigan","2514","null",
"1400000US26099262700","Census Tract 2627; Macomb County; Michigan","4992","null",
"1400000US26099262800","Census Tract 2628; Macomb County; Michigan","2131","null",
"1400000US26099262900","Census Tract 2629; Macomb County; Michigan","4168","null",
"1400000US26099263200","Census Tract 2632; Macomb County; Michigan","3042","null",
"1400000US26099263400","Census Tract 2634; Macomb County; Michigan","4035","null",
"1400000US26099263500","Census Tract 2635; Macomb County; Michigan","4524","null",
"1400000US26099263600","Census Tract 2636; Macomb County; Michigan","5128","null",
"1400000US26099263700","Census Tract 2637; Macomb County; Michigan","5121","null",
"1400000US26099263800","Census Tract 2638; Macomb County; Michigan","3097","null",
"1400000US26099263900","Census Tract 2639; Macomb County; Michigan","3786","null",
"1400000US26099264000","Census Tract 2640; Macomb County; Michigan","1969","null",
"1400000US26099264200","Census Tract 2642; Macomb County; Michigan","4061","null",
"1400000US26099267600","Census Tract 2676; Macomb County; Michigan","1487","null",
"1400000US26099268000","Census Tract 2680; Macomb County; Michigan","5853","null",
"1400000US26099268100","Census Tract 2681; Macomb County; Michigan","2699","null",
"1400000US26099268200","Census Tract 2682; Macomb County; Michigan","3864","null",
"1400000US26099268300","Census Tract 2683; Macomb County; Michigan","3100","null",
"1400000US26099268400","Census Tract 2684; Macomb County; Michigan","3585","null",
"1400000US26099980000","Census Tract 9800; Macomb County; Michigan","0","null",
"1400000US26099980100","Census Tract 9801; Macomb County; Michigan","0","null",
"1400000US26099982001","Census Tract 9820.01; Macomb County; Michigan","5","null",
"1400000US26099982002","Census Tract 9820.02; Macomb County; Michigan","22","null",
"1400000US26099982100","Census Tract 9821; Macomb County; Michigan","2","null",
"1400000US26099982200","Census Tract 9822; Macomb County; Michigan","9","null",
"1400000US26099982300","Census Tract 9823; Macomb County; Michigan","37","null",
